sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary,salary_category
1,M,67.0,Others,91.0,Others,Commerce,58.0,Sci&Tech,NO,55.0,Mkt&HR,58.8,Placed,270000,Low
2,M,79.33,Central,78.33,Others,Science,77.48,Sci&Tech,YES,86.5,Mkt&Fin,66.28,Placed,200000,Low
3,M,65.0,Central,68.0,Central,Arts,64.0,Comm&Mgmt,NO,75.0,Mkt&Fin,57.8,Placed,250000,Low
4,M,56.0,Central,52.0,Central,Science,52.0,Sci&Tech,NO,66.0,Mkt&HR,59.43,Not placed,0,No Salary
5,M,85.8,Central,73.6,Central,Commerce,73.3,Comm&Mgmt,NO,96.8,Mkt&Fin,55.5,Placed,425000,Medium
6,M,55.0,Others,49.8,Others,Science,67.25,Sci&Tech,YES,55.0,Mkt&Fin,51.58,Not placed,0,No Salary
7,F,46.0,Others,49.2,Others,Commerce,79.0,Comm&Mgmt,NO,74.28,Mkt&Fin,53.29,Not placed,0,No Salary
8,M,82.0,Central,64.0,Central,Science,66.0,Sci&Tech,YES,67.0,Mkt&Fin,62.14,Placed,252000,Low
9,M,73.0,Central,79.0,Central,Commerce,72.0,Comm&Mgmt,NO,91.34,Mkt&Fin,61.29,Placed,231000,Low
10,M,58.0,Central,70.0,Central,Commerce,61.0,Comm&Mgmt,NO,54.0,Mkt&Fin,52.21,Not placed,0,No Salary
11,M,58.0,Central,61.0,Central,Commerce,60.0,Comm&Mgmt,YES,62.0,Mkt&HR,60.85,Placed,260000,Low
12,M,69.6,Central,68.4,Central,Commerce,78.3,Comm&Mgmt,YES,60.0,Mkt&Fin,63.7,Placed,250000,Low
13,F,47.0,Central,55.0,Others,Science,65.0,Comm&Mgmt,NO,62.0,Mkt&HR,65.04,Not placed,0,No Salary
14,F,77.0,Central,87.0,Central,Commerce,59.0,Comm&Mgmt,NO,68.0,Mkt&Fin,68.63,Placed,218000,Low
15,M,62.0,Central,47.0,Central,Commerce,50.0,Comm&Mgmt,NO,76.0,Mkt&HR,54.96,Not placed,0,No Salary
16,F,65.0,Central,75.0,Central,Commerce,69.0,Comm&Mgmt,YES,72.0,Mkt&Fin,64.66,Placed,200000,Low
17,M,63.0,Central,66.2,Central,Commerce,65.6,Comm&Mgmt,YES,60.0,Mkt&Fin,62.54,Placed,300000,Medium
18,F,55.0,Central,67.0,Central,Commerce,64.0,Comm&Mgmt,NO,60.0,Mkt&Fin,67.28,Not placed,0,No Salary
19,F,63.0,Central,66.0,Central,Commerce,64.0,Comm&Mgmt,NO,68.0,Mkt&HR,64.08,Not placed,0,No Salary
20,M,60.0,Others,67.0,Others,Arts,70.0,Comm&Mgmt,YES,50.48,Mkt&Fin,77.89,Placed,236000,Low
21,M,62.0,Others,65.0,Others,Commerce,66.0,Comm&Mgmt,NO,50.0,Mkt&HR,56.7,Placed,265000,Low
22,F,79.0,Others,76.0,Others,Commerce,85.0,Comm&Mgmt,NO,95.0,Mkt&Fin,69.06,Placed,393000,Medium
23,F,69.8,Others,60.8,Others,Science,72.23,Sci&Tech,NO,55.53,Mkt&HR,68.81,Placed,360000,Medium
24,F,77.4,Others,60.0,Others,Science,64.74,Sci&Tech,YES,92.0,Mkt&Fin,63.62,Placed,300000,Medium
25,M,76.5,Others,97.7,Others,Science,78.86,Sci&Tech,NO,97.4,Mkt&Fin,74.01,Placed,360000,Medium
26,F,52.58,Others,54.6,Central,Commerce,50.2,Comm&Mgmt,YES,76.0,Mkt&Fin,65.33,Not placed,0,No Salary
27,M,71.0,Others,79.0,Others,Commerce,66.0,Comm&Mgmt,YES,94.0,Mkt&Fin,57.55,Placed,240000,Low
28,M,63.0,Others,67.0,Others,Commerce,66.0,Comm&Mgmt,NO,68.0,Mkt&HR,57.69,Placed,265000,Low
29,M,76.76,Others,76.5,Others,Commerce,67.5,Comm&Mgmt,YES,73.35,Mkt&Fin,64.15,Placed,350000,Medium
30,M,62.0,Central,67.0,Central,Commerce,58.0,Comm&Mgmt,NO,77.0,Mkt&Fin,51.29,Not placed,0,No Salary
31,F,64.0,Central,73.5,Central,Commerce,73.0,Comm&Mgmt,NO,52.0,Mkt&HR,56.7,Placed,250000,Low
32,F,67.0,Central,53.0,Central,Science,65.0,Sci&Tech,NO,64.0,Mkt&HR,58.32,Not placed,0,No Salary
33,F,61.0,Central,81.0,Central,Commerce,66.4,Comm&Mgmt,NO,50.89,Mkt&HR,62.21,Placed,278000,Low
34,F,87.0,Others,65.0,Others,Science,81.0,Comm&Mgmt,YES,88.0,Mkt&Fin,72.78,Placed,260000,Low
35,M,62.0,Others,51.0,Others,Science,52.0,Others,NO,68.44,Mkt&HR,62.77,Not placed,0,No Salary
36,F,69.0,Central,78.0,Central,Commerce,72.0,Comm&Mgmt,NO,71.0,Mkt&HR,62.74,Placed,300000,Medium
37,M,51.0,Central,44.0,Central,Commerce,57.0,Comm&Mgmt,NO,64.0,Mkt&Fin,51.45,Not placed,0,No Salary
38,F,79.0,Central,76.0,Central,Science,65.6,Sci&Tech,NO,58.0,Mkt&HR,55.47,Placed,320000,Medium
39,F,73.0,Others,58.0,Others,Science,66.0,Comm&Mgmt,NO,53.7,Mkt&HR,56.86,Placed,240000,Low
40,M,81.0,Others,68.0,Others,Science,64.0,Sci&Tech,NO,93.0,Mkt&Fin,62.56,Placed,411000,Medium
41,F,78.0,Central,77.0,Others,Commerce,80.0,Comm&Mgmt,NO,60.0,Mkt&Fin,66.72,Placed,287000,Low
42,F,74.0,Others,63.16,Others,Commerce,65.0,Comm&Mgmt,YES,65.0,Mkt&HR,69.76,Not placed,0,No Salary
43,M,49.0,Others,39.0,Central,Science,65.0,Others,NO,63.0,Mkt&Fin,51.21,Not placed,0,No Salary
44,M,87.0,Others,87.0,Others,Commerce,68.0,Comm&Mgmt,NO,95.0,Mkt&HR,62.9,Placed,300000,Medium
45,F,77.0,Others,73.0,Others,Commerce,81.0,Comm&Mgmt,YES,89.0,Mkt&Fin,69.7,Placed,200000,Low
46,F,76.0,Central,64.0,Central,Science,72.0,Sci&Tech,NO,58.0,Mkt&HR,66.53,Not placed,0,No Salary
47,F,70.89,Others,71.98,Others,Science,65.6,Comm&Mgmt,NO,68.0,Mkt&HR,71.63,Not placed,0,No Salary
48,M,63.0,Central,60.0,Central,Commerce,57.0,Comm&Mgmt,YES,78.0,Mkt&Fin,54.55,Placed,204000,Low
49,M,63.0,Others,62.0,Others,Commerce,68.0,Comm&Mgmt,NO,64.0,Mkt&Fin,62.46,Placed,250000,Low
50,F,50.0,Others,37.0,Others,Arts,52.0,Others,NO,65.0,Mkt&HR,56.11,Not placed,0,No Salary
51,F,75.2,Central,73.2,Central,Science,68.4,Comm&Mgmt,NO,65.0,Mkt&HR,62.98,Placed,200000,Low
52,M,54.4,Central,61.12,Central,Commerce,56.2,Comm&Mgmt,NO,67.0,Mkt&HR,62.65,Not placed,0,No Salary
53,F,40.89,Others,45.83,Others,Commerce,53.0,Comm&Mgmt,NO,71.2,Mkt&HR,65.49,Not placed,0,No Salary
54,M,80.0,Others,70.0,Others,Science,72.0,Sci&Tech,NO,87.0,Mkt&HR,71.04,Placed,450000,Medium
55,F,74.0,Central,60.0,Others,Science,69.0,Comm&Mgmt,NO,78.0,Mkt&HR,65.56,Placed,216000,Low
56,M,60.4,Central,66.6,Others,Science,65.0,Comm&Mgmt,NO,71.0,Mkt&HR,52.71,Placed,220000,Low
57,M,63.0,Others,71.4,Others,Commerce,61.4,Comm&Mgmt,NO,68.0,Mkt&Fin,66.88,Placed,240000,Low
58,M,68.0,Central,76.0,Central,Commerce,74.0,Comm&Mgmt,NO,80.0,Mkt&Fin,63.59,Placed,360000,Medium
59,M,74.0,Central,62.0,Others,Science,68.0,Comm&Mgmt,NO,74.0,Mkt&Fin,57.99,Placed,268000,Low
60,M,52.6,Central,65.58,Others,Science,72.11,Sci&Tech,NO,57.6,Mkt&Fin,56.66,Placed,265000,Low
61,M,74.0,Central,70.0,Central,Science,72.0,Comm&Mgmt,YES,60.0,Mkt&Fin,57.24,Placed,260000,Low
62,M,84.2,Central,73.4,Central,Commerce,66.89,Comm&Mgmt,NO,61.6,Mkt&Fin,62.48,Placed,300000,Medium
63,F,86.5,Others,64.2,Others,Science,67.4,Sci&Tech,NO,59.0,Mkt&Fin,59.69,Placed,240000,Low
64,M,61.0,Others,70.0,Others,Commerce,64.0,Comm&Mgmt,NO,68.5,Mkt&HR,59.5,Not placed,0,No Salary
65,M,80.0,Others,73.0,Others,Commerce,75.0,Comm&Mgmt,NO,61.0,Mkt&Fin,58.78,Placed,240000,Low
66,M,54.0,Others,47.0,Others,Science,57.0,Comm&Mgmt,NO,89.69,Mkt&HR,57.1,Not placed,0,No Salary
67,M,83.0,Others,74.0,Others,Science,66.0,Comm&Mgmt,NO,68.92,Mkt&HR,58.46,Placed,275000,Low
68,M,80.92,Others,78.5,Others,Commerce,67.0,Comm&Mgmt,NO,68.71,Mkt&Fin,60.99,Placed,275000,Low
69,F,69.7,Central,47.0,Central,Commerce,72.7,Sci&Tech,NO,79.0,Mkt&HR,59.24,Not placed,0,No Salary
70,M,73.0,Central,73.0,Central,Science,66.0,Sci&Tech,YES,70.0,Mkt&Fin,68.07,Placed,275000,Low
71,M,82.0,Others,61.0,Others,Science,62.0,Sci&Tech,NO,89.0,Mkt&Fin,65.45,Placed,360000,Medium
72,M,75.0,Others,70.29,Others,Commerce,71.0,Comm&Mgmt,NO,95.0,Mkt&Fin,66.94,Placed,240000,Low
73,M,84.86,Others,67.0,Others,Science,78.0,Comm&Mgmt,NO,95.5,Mkt&Fin,68.53,Placed,240000,Low
74,M,64.6,Central,83.83,Others,Commerce,71.72,Comm&Mgmt,NO,86.0,Mkt&Fin,59.75,Placed,218000,Low
75,M,56.6,Central,64.8,Central,Commerce,70.2,Comm&Mgmt,NO,84.27,Mkt&Fin,67.2,Placed,336000,Medium
76,F,59.0,Central,62.0,Others,Commerce,77.5,Comm&Mgmt,NO,74.0,Mkt&HR,67.0,Not placed,0,No Salary
77,F,66.5,Others,70.4,Central,Arts,71.93,Comm&Mgmt,NO,61.0,Mkt&Fin,64.27,Placed,230000,Low
78,M,64.0,Others,80.0,Others,Science,65.0,Sci&Tech,YES,69.0,Mkt&Fin,57.65,Placed,500000,Medium
79,M,84.0,Others,90.9,Others,Science,64.5,Sci&Tech,NO,86.04,Mkt&Fin,59.42,Placed,270000,Low
80,F,69.0,Central,62.0,Central,Science,66.0,Sci&Tech,NO,75.0,Mkt&HR,67.99,Not placed,0,No Salary
81,F,69.0,Others,62.0,Others,Commerce,69.0,Comm&Mgmt,YES,67.0,Mkt&HR,62.35,Placed,240000,Low
82,M,81.7,Others,63.0,Others,Science,67.0,Comm&Mgmt,YES,86.0,Mkt&Fin,70.2,Placed,300000,Medium
83,M,63.0,Central,67.0,Central,Commerce,74.0,Comm&Mgmt,NO,82.0,Mkt&Fin,60.44,Not placed,0,No Salary
84,M,84.0,Others,79.0,Others,Science,68.0,Sci&Tech,YES,84.0,Mkt&Fin,66.69,Placed,300000,Medium
85,M,70.0,Central,63.0,Others,Science,70.0,Sci&Tech,YES,55.0,Mkt&Fin,62.0,Placed,300000,Medium
86,F,83.84,Others,89.83,Others,Commerce,77.2,Comm&Mgmt,YES,78.74,Mkt&Fin,76.18,Placed,400000,Medium
87,M,62.0,Others,63.0,Others,Commerce,64.0,Comm&Mgmt,NO,67.0,Mkt&Fin,57.03,Placed,220000,Low
88,M,59.6,Central,51.0,Central,Science,60.0,Others,NO,75.0,Mkt&HR,59.08,Not placed,0,No Salary
89,F,66.0,Central,62.0,Central,Commerce,73.0,Comm&Mgmt,NO,58.0,Mkt&HR,64.36,Placed,210000,Low
90,F,84.0,Others,75.0,Others,Science,69.0,Sci&Tech,YES,62.0,Mkt&HR,62.36,Placed,210000,Low
91,F,85.0,Others,90.0,Others,Commerce,82.0,Comm&Mgmt,NO,92.0,Mkt&Fin,68.03,Placed,300000,Medium
92,M,52.0,Central,57.0,Central,Commerce,50.8,Comm&Mgmt,NO,67.0,Mkt&HR,62.79,Not placed,0,No Salary
93,F,60.23,Central,69.0,Central,Science,66.0,Comm&Mgmt,NO,72.0,Mkt&Fin,59.47,Placed,230000,Low
94,M,52.0,Central,62.0,Central,Commerce,54.0,Comm&Mgmt,NO,72.0,Mkt&HR,55.41,Not placed,0,No Salary
95,M,58.0,Central,62.0,Central,Commerce,64.0,Comm&Mgmt,NO,53.88,Mkt&Fin,54.97,Placed,260000,Low
96,M,73.0,Central,78.0,Others,Commerce,65.0,Comm&Mgmt,YES,95.46,Mkt&Fin,62.16,Placed,420000,Medium
97,F,76.0,Central,70.0,Central,Science,76.0,Comm&Mgmt,YES,66.0,Mkt&Fin,64.44,Placed,300000,Medium
98,F,70.5,Central,62.5,Others,Commerce,61.0,Comm&Mgmt,NO,93.91,Mkt&Fin,69.03,Not placed,0,No Salary
99,F,69.0,Central,73.0,Central,Commerce,65.0,Comm&Mgmt,NO,70.0,Mkt&Fin,57.31,Placed,220000,Low
100,M,54.0,Central,82.0,Others,Commerce,63.0,Sci&Tech,NO,50.0,Mkt&Fin,59.47,Not placed,0,No Salary
101,F,45.0,Others,57.0,Others,Commerce,58.0,Comm&Mgmt,YES,56.39,Mkt&HR,64.95,Not placed,0,No Salary
102,M,63.0,Central,72.0,Central,Commerce,68.0,Comm&Mgmt,NO,78.0,Mkt&HR,60.44,Placed,380000,Medium
103,F,77.0,Others,61.0,Others,Commerce,68.0,Comm&Mgmt,YES,57.5,Mkt&Fin,61.31,Placed,300000,Medium
104,M,73.0,Central,78.0,Central,Science,73.0,Sci&Tech,YES,85.0,Mkt&HR,65.83,Placed,240000,Low
105,M,69.0,Central,63.0,Others,Science,65.0,Comm&Mgmt,YES,55.0,Mkt&HR,58.23,Placed,360000,Medium
106,M,59.0,Central,64.0,Others,Science,58.0,Sci&Tech,NO,85.0,Mkt&HR,55.3,Not placed,0,No Salary
107,M,61.08,Others,50.0,Others,Science,54.0,Sci&Tech,NO,71.0,Mkt&Fin,65.69,Not placed,0,No Salary
