sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary,salary_category
108,M,82.0,Others,90.0,Others,Commerce,83.0,Comm&Mgmt,NO,80.0,Mkt&HR,73.52,Placed,200000,Low
109,M,61.0,Central,82.0,Central,Commerce,69.0,Comm&Mgmt,NO,84.0,Mkt&Fin,58.31,Placed,300000,Medium
110,M,52.0,Central,63.0,Others,Science,65.0,Sci&Tech,YES,86.0,Mkt&HR,56.09,Not placed,0,No Salary
111,F,69.5,Central,70.0,Central,Science,72.0,Sci&Tech,NO,57.2,Mkt&HR,54.8,Placed,250000,Low
112,M,51.0,Others,54.0,Others,Science,61.0,Sci&Tech,NO,60.0,Mkt&HR,60.64,Not placed,0,No Salary
113,M,58.0,Others,61.0,Others,Commerce,61.0,Comm&Mgmt,NO,58.0,Mkt&HR,53.94,Placed,250000,Low
114,F,73.96,Others,79.0,Others,Commerce,67.0,Comm&Mgmt,NO,72.15,Mkt&Fin,63.08,Placed,280000,Low
115,M,65.0,Central,68.0,Others,Science,69.0,Comm&Mgmt,NO,53.7,Mkt&HR,55.01,Placed,250000,Low
116,F,73.0,Others,63.0,Others,Science,66.0,Comm&Mgmt,NO,89.0,Mkt&Fin,60.5,Placed,216000,Low
117,M,68.2,Central,72.8,Central,Commerce,66.6,Comm&Mgmt,YES,96.0,Mkt&Fin,70.85,Placed,300000,Medium
118,M,77.0,Others,75.0,Others,Science,73.0,Sci&Tech,NO,80.0,Mkt&Fin,67.05,Placed,240000,Low
119,M,76.0,Central,80.0,Central,Science,78.0,Sci&Tech,YES,97.0,Mkt&HR,70.48,Placed,276000,Low
120,M,60.8,Central,68.4,Central,Commerce,64.6,Comm&Mgmt,YES,82.66,Mkt&Fin,64.34,Placed,940000,High
121,M,58.0,Others,40.0,Others,Science,59.0,Comm&Mgmt,NO,73.0,Mkt&HR,58.81,Not placed,0,No Salary
122,F,64.0,Central,67.0,Others,Science,69.6,Sci&Tech,YES,55.67,Mkt&HR,71.49,Placed,250000,Low
123,F,66.5,Central,66.8,Central,Arts,69.3,Comm&Mgmt,YES,80.4,Mkt&Fin,71.0,Placed,236000,Low
124,M,74.0,Others,59.0,Others,Commerce,73.0,Comm&Mgmt,YES,60.0,Mkt&HR,56.7,Placed,240000,Low
125,M,67.0,Central,71.0,Central,Science,64.33,Others,YES,64.0,Mkt&HR,61.26,Placed,250000,Low
126,F,84.0,Central,73.0,Central,Commerce,73.0,Comm&Mgmt,NO,75.0,Mkt&Fin,73.33,Placed,350000,Medium
127,F,79.0,Others,61.0,Others,Science,75.5,Sci&Tech,YES,70.0,Mkt&Fin,68.2,Placed,210000,Low
128,F,72.0,Others,60.0,Others,Science,69.0,Comm&Mgmt,NO,55.5,Mkt&HR,58.4,Placed,250000,Low
129,M,80.4,Central,73.4,Central,Science,77.72,Sci&Tech,YES,81.2,Mkt&HR,76.26,Placed,400000,Medium
130,M,76.7,Central,89.7,Others,Commerce,66.0,Comm&Mgmt,YES,90.0,Mkt&Fin,68.55,Placed,250000,Low
131,M,62.0,Central,65.0,Others,Commerce,60.0,Comm&Mgmt,NO,84.0,Mkt&Fin,64.15,Not placed,0,No Salary
132,F,74.9,Others,57.0,Others,Science,62.0,Others,YES,80.0,Mkt&Fin,60.78,Placed,360000,Medium
133,M,67.0,Others,68.0,Others,Commerce,64.0,Comm&Mgmt,YES,74.4,Mkt&HR,53.49,Placed,300000,Medium
134,M,73.0,Central,64.0,Others,Commerce,77.0,Comm&Mgmt,YES,65.0,Mkt&HR,60.98,Placed,250000,Low
135,F,77.44,Central,92.0,Others,Commerce,72.0,Comm&Mgmt,YES,94.0,Mkt&Fin,67.13,Placed,250000,Low
136,F,72.0,Central,56.0,Others,Science,69.0,Comm&Mgmt,NO,55.6,Mkt&HR,65.63,Placed,200000,Low
137,F,47.0,Central,59.0,Central,Arts,64.0,Comm&Mgmt,NO,78.0,Mkt&Fin,61.58,Not placed,0,No Salary
138,M,67.0,Others,63.0,Central,Commerce,72.0,Comm&Mgmt,NO,56.0,Mkt&HR,60.41,Placed,225000,Low
139,F,82.0,Others,64.0,Others,Science,73.0,Sci&Tech,YES,96.0,Mkt&Fin,71.77,Placed,250000,Low
140,M,77.0,Central,70.0,Central,Commerce,59.0,Comm&Mgmt,YES,58.0,Mkt&Fin,54.43,Placed,220000,Low
141,M,65.0,Central,64.8,Others,Commerce,69.5,Comm&Mgmt,YES,56.0,Mkt&Fin,56.94,Placed,265000,Low
142,M,66.0,Central,64.0,Central,Science,60.0,Comm&Mgmt,NO,60.0,Mkt&HR,61.9,Not placed,0,No Salary
143,M,85.0,Central,60.0,Others,Science,73.43,Sci&Tech,YES,60.0,Mkt&Fin,61.29,Placed,260000,Low
144,M,77.67,Others,64.89,Others,Commerce,70.67,Comm&Mgmt,NO,89.0,Mkt&Fin,60.39,Placed,300000,Medium
145,M,52.0,Others,50.0,Others,Arts,61.0,Comm&Mgmt,NO,60.0,Mkt&Fin,58.52,Not placed,0,No Salary
146,M,89.4,Others,65.66,Others,Science,71.25,Sci&Tech,NO,72.0,Mkt&HR,63.23,Placed,400000,Medium
147,M,62.0,Central,63.0,Others,Science,66.0,Comm&Mgmt,NO,85.0,Mkt&HR,55.14,Placed,233000,Low
148,M,70.0,Central,74.0,Central,Commerce,65.0,Comm&Mgmt,NO,83.0,Mkt&Fin,62.28,Placed,300000,Medium
149,F,77.0,Central,86.0,Central,Arts,56.0,Others,NO,57.0,Mkt&Fin,64.08,Placed,240000,Low
150,M,44.0,Central,58.0,Central,Arts,55.0,Comm&Mgmt,YES,64.25,Mkt&HR,58.54,Not placed,0,No Salary
151,M,71.0,Central,58.66,Central,Science,58.0,Sci&Tech,YES,56.0,Mkt&Fin,61.3,Placed,690000,High
152,M,65.0,Central,65.0,Central,Commerce,75.0,Comm&Mgmt,NO,83.0,Mkt&Fin,58.87,Placed,270000,Low
153,F,75.4,Others,60.5,Central,Science,84.0,Sci&Tech,NO,98.0,Mkt&Fin,65.25,Placed,240000,Low
154,M,49.0,Others,59.0,Others,Science,65.0,Sci&Tech,YES,86.0,Mkt&Fin,62.48,Placed,340000,Medium
155,M,53.0,Central,63.0,Others,Science,60.0,Comm&Mgmt,YES,70.0,Mkt&Fin,53.2,Placed,250000,Low
156,M,51.57,Others,74.66,Others,Commerce,59.9,Comm&Mgmt,YES,56.15,Mkt&HR,65.99,Not placed,0,No Salary
157,M,84.2,Central,69.4,Central,Science,65.0,Sci&Tech,YES,80.0,Mkt&HR,52.72,Placed,255000,Low
158,M,66.5,Central,62.5,Central,Commerce,60.9,Comm&Mgmt,NO,93.4,Mkt&Fin,55.03,Placed,300000,Medium
159,M,67.0,Others,63.0,Others,Science,64.0,Sci&Tech,NO,60.0,Mkt&Fin,61.87,Not placed,0,No Salary
160,M,52.0,Central,49.0,Others,Commerce,58.0,Comm&Mgmt,NO,62.0,Mkt&HR,60.59,Not placed,0,No Salary
161,M,87.0,Central,74.0,Central,Science,65.0,Sci&Tech,YES,75.0,Mkt&HR,72.29,Placed,300000,Medium
162,M,55.6,Others,51.0,Others,Commerce,57.5,Comm&Mgmt,NO,57.63,Mkt&HR,62.72,Not placed,0,No Salary
163,M,74.2,Central,87.6,Others,Commerce,77.25,Comm&Mgmt,YES,75.2,Mkt&Fin,66.06,Placed,285000,Low
164,M,63.0,Others,67.0,Others,Science,64.0,Sci&Tech,NO,75.0,Mkt&Fin,66.46,Placed,500000,Medium
165,F,67.16,Central,72.5,Central,Commerce,63.35,Comm&Mgmt,NO,53.04,Mkt&Fin,65.52,Placed,250000,Low
166,F,63.3,Central,78.33,Others,Commerce,74.0,Comm&Mgmt,NO,80.0,Mkt&Fin,74.56,Not placed,0,No Salary
167,M,62.0,Others,62.0,Others,Commerce,60.0,Comm&Mgmt,YES,63.0,Mkt&HR,52.38,Placed,240000,Low
168,M,67.9,Others,62.0,Others,Science,67.0,Sci&Tech,YES,58.1,Mkt&Fin,75.71,Not placed,0,No Salary
169,F,48.0,Central,51.0,Central,Commerce,58.0,Comm&Mgmt,YES,60.0,Mkt&HR,58.79,Not placed,0,No Salary
170,M,59.96,Others,42.16,Others,Science,61.26,Sci&Tech,NO,54.48,Mkt&HR,65.48,Not placed,0,No Salary
171,F,63.4,Others,67.2,Others,Commerce,60.0,Comm&Mgmt,NO,58.06,Mkt&HR,69.28,Not placed,0,No Salary
172,M,80.0,Others,80.0,Others,Commerce,72.0,Comm&Mgmt,YES,63.79,Mkt&Fin,66.04,Placed,290000,Low
173,M,73.0,Others,58.0,Others,Commerce,56.0,Comm&Mgmt,NO,84.0,Mkt&HR,52.64,Placed,300000,Medium
174,F,52.0,Others,52.0,Others,Science,55.0,Sci&Tech,NO,67.0,Mkt&HR,59.32,Not placed,0,No Salary
175,M,73.24,Others,50.83,Others,Science,64.27,Sci&Tech,YES,64.0,Mkt&Fin,66.23,Placed,500000,Medium
176,M,63.0,Others,62.0,Others,Science,65.0,Sci&Tech,NO,87.5,Mkt&HR,60.69,Not placed,0,No Salary
177,F,59.0,Central,60.0,Others,Commerce,56.0,Comm&Mgmt,NO,55.0,Mkt&HR,57.9,Placed,220000,Low
178,F,73.0,Central,97.0,Others,Commerce,79.0,Comm&Mgmt,YES,89.0,Mkt&Fin,70.81,Placed,650000,High
179,M,68.0,Others,56.0,Others,Science,68.0,Sci&Tech,NO,73.0,Mkt&HR,68.07,Placed,350000,Medium
180,F,77.8,Central,64.0,Central,Science,64.2,Sci&Tech,NO,75.5,Mkt&HR,72.14,Not placed,0,No Salary
181,M,65.0,Central,71.5,Others,Commerce,62.8,Comm&Mgmt,YES,57.0,Mkt&Fin,56.6,Placed,265000,Low
182,M,62.0,Central,60.33,Others,Science,64.21,Sci&Tech,NO,63.0,Mkt&HR,60.02,Not placed,0,No Salary
183,M,52.0,Others,65.0,Others,Arts,57.0,Others,YES,75.0,Mkt&Fin,59.81,Not placed,0,No Salary
184,M,65.0,Central,77.0,Central,Commerce,69.0,Comm&Mgmt,NO,60.0,Mkt&HR,61.82,Placed,276000,Low
185,F,56.28,Others,62.83,Others,Commerce,59.79,Comm&Mgmt,NO,60.0,Mkt&HR,57.29,Not placed,0,No Salary
186,F,88.0,Central,72.0,Central,Science,78.0,Others,NO,82.0,Mkt&HR,71.43,Placed,252000,Low
187,F,52.0,Central,64.0,Central,Commerce,61.0,Comm&Mgmt,NO,55.0,Mkt&Fin,62.93,Not placed,0,No Salary
188,M,78.5,Central,65.5,Central,Science,67.0,Sci&Tech,YES,95.0,Mkt&Fin,64.86,Placed,280000,Low
189,M,61.8,Others,47.0,Others,Commerce,54.38,Comm&Mgmt,NO,57.0,Mkt&Fin,56.13,Not placed,0,No Salary
190,F,54.0,Central,77.6,Others,Commerce,69.2,Comm&Mgmt,NO,95.65,Mkt&Fin,66.94,Not placed,0,No Salary
191,F,64.0,Others,70.2,Central,Commerce,61.0,Comm&Mgmt,NO,50.0,Mkt&Fin,62.5,Not placed,0,No Salary
192,M,67.0,Others,61.0,Central,Science,72.0,Comm&Mgmt,NO,72.0,Mkt&Fin,61.01,Placed,264000,Low
193,M,65.2,Central,61.4,Central,Commerce,64.8,Comm&Mgmt,YES,93.4,Mkt&Fin,57.34,Placed,270000,Low
194,F,60.0,Central,63.0,Central,Arts,56.0,Others,YES,80.0,Mkt&HR,56.63,Placed,300000,Medium
195,M,52.0,Others,55.0,Others,Commerce,56.3,Comm&Mgmt,NO,59.0,Mkt&Fin,64.74,Not placed,0,No Salary
196,M,66.0,Central,76.0,Central,Commerce,72.0,Comm&Mgmt,YES,84.0,Mkt&HR,58.95,Placed,275000,Low
197,M,72.0,Others,63.0,Others,Science,77.5,Sci&Tech,YES,78.0,Mkt&Fin,54.48,Placed,250000,Low
198,F,83.96,Others,53.0,Others,Science,91.0,Sci&Tech,NO,59.32,Mkt&HR,69.71,Placed,260000,Low
199,F,67.0,Central,70.0,Central,Commerce,65.0,Others,NO,88.0,Mkt&HR,71.96,Not placed,0,No Salary
200,M,69.0,Others,65.0,Others,Commerce,57.0,Comm&Mgmt,NO,73.0,Mkt&HR,55.8,Placed,265000,Low
201,M,69.0,Others,60.0,Others,Commerce,65.0,Comm&Mgmt,NO,87.55,Mkt&Fin,52.81,Placed,300000,Medium
202,M,54.2,Central,63.0,Others,Science,58.0,Comm&Mgmt,NO,79.0,Mkt&HR,58.44,Not placed,0,No Salary
203,M,70.0,Central,63.0,Central,Science,66.0,Sci&Tech,NO,61.28,Mkt&HR,60.11,Placed,240000,Low
204,M,55.68,Others,61.33,Others,Commerce,56.87,Comm&Mgmt,NO,66.0,Mkt&HR,58.3,Placed,260000,Low
205,F,74.0,Others,73.0,Others,Commerce,73.0,Comm&Mgmt,YES,80.0,Mkt&Fin,67.69,Placed,210000,Low
206,M,61.0,Others,62.0,Others,Commerce,65.0,Comm&Mgmt,NO,62.0,Mkt&Fin,56.81,Placed,250000,Low
207,M,41.0,Central,42.0,Central,Science,60.0,Comm&Mgmt,NO,97.0,Mkt&Fin,53.39,Not placed,0,No Salary
208,M,83.33,Central,78.0,Others,Commerce,61.0,Comm&Mgmt,YES,88.56,Mkt&Fin,71.55,Placed,300000,Medium
209,F,43.0,Central,60.0,Others,Science,65.0,Comm&Mgmt,NO,92.66,Mkt&HR,62.92,Not placed,0,No Salary
210,M,62.0,Central,72.0,Central,Commerce,65.0,Comm&Mgmt,NO,67.0,Mkt&Fin,56.49,Placed,216000,Low
211,M,80.6,Others,82.0,Others,Commerce,77.6,Comm&Mgmt,NO,91.0,Mkt&Fin,74.49,Placed,400000,Medium
212,M,58.0,Others,60.0,Others,Science,72.0,Sci&Tech,NO,74.0,Mkt&Fin,53.62,Placed,275000,Low
213,M,67.0,Others,67.0,Others,Commerce,73.0,Comm&Mgmt,YES,59.0,Mkt&Fin,69.72,Placed,295000,Low
214,F,74.0,Others,66.0,Others,Commerce,58.0,Comm&Mgmt,NO,70.0,Mkt&HR,60.23,Placed,204000,Low
215,M,62.0,Central,58.0,Others,Science,53.0,Comm&Mgmt,NO,89.0,Mkt&HR,60.22,Not placed,0,No Salary
